asofdate,strat,snp500
2023-02,-0.0367,-0.026112447
2023-03,0.0228,0.035051572
2023-04,0.0046,0.014642361
2023-05,-0.0218,0.002482324
2023-06,0.0388,0.064727513
2023-07,0.0415,0.031138914
2023-08,-0.0376,-0.017716432
2023-09,-0.0392,-0.048719291
2023-10,-0.0302,-0.021979688
2023-11,0.0718,0.089179265
2023-12,0.0559,0.044229169
2024-01,-0.0154,0.015895745
